feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__hist_diff_l1__mean,cut_detection,0.0099,0.0428
core_clip__places365_topk_scores__p90,core_clip,0.0098,-0.0362
core_optical_flow__flow_dx_mean_per_sec_norm__p90,core_optical_flow,-0.0098,0.0611
core_optical_flow__flow_mag_std_per_sec_norm__p90,core_optical_flow,0.0096,0.1156
cut_detection__soft_hist_diff_l1__std,cut_detection,-0.0095,0.0321
core_optical_flow__flow_dir_cos_mean__p50,core_optical_flow,0.0095,-0.0472
core_optical_flow__flow_consistency__std,core_optical_flow,0.0094,0.0224
core_optical_flow__flow_dir_sin_mean__min,core_optical_flow,0.0092,0.055
cut_detection__hist_diff_l1__p50,cut_detection,0.0092,0.0346
cut_detection__pair_dt_s__mean,cut_detection,-0.0091,-0.0485
